Region,Country,ISO_Code,ADM1_PCODE,EP_0t9,EP_10t19,EP_20t29,EP_30t39,EP_40t49,EP_50t59,EP_60t69,EP_70t79,EP_80P,EP_BPL,EP_Cancer,EP_HyTen,EP_Diab,EP_COPD,EP_ISD,EP_Male,EP_Female,Gt35K_RTO,MRI_IDX,MRI_RIDX,MRI_RIDX2
Boucle de Mouhoun,Burkina Faso,BFA,BF46,30.2,28.2,9.25,8.93,9.08,7.5,3.86,2.47,0.54,88.2,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,80.26,11.98,11.98
Cascades,Burkina Faso,BFA,BF47,30.0,28.0,11.1,9.41,9.17,6.78,3.61,1.38,0.54,73.5,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,55.12,11.2,11.2
Centre (incl Ouagadougou),Burkina Faso,BFA,BF13,22.1,25.3,21.2,13.4,7.99,5.42,2.56,1.67,0.36,37.8,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,0.0,9.49,9.49
Centre-Est,Burkina Faso,BFA,BF48,33.0,24.8,12.1,11.1,6.83,5.5,3.29,1.96,1.51,95.0,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,94.11,12.41,12.41
Centre-Nord,Burkina Faso,BFA,BF49,36.1,23.7,13.5,9.46,7.72,4.7,2.51,1.65,0.79,94.4,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,86.7,12.18,12.18
Centre-Ouest,Burkina Faso,BFA,BF50,30.8,27.9,9.72,7.21,7.4,7.51,5.41,2.94,1.13,90.0,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,89.28,12.26,12.26
Centre-Sud,Burkina Faso,BFA,BF51,32.2,23.8,14.6,10.7,7.41,6.25,3.03,1.6,0.4,92.1,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,81.87,12.03,12.03
Est,Burkina Faso,BFA,BF52,35.4,23.4,15.9,9.26,5.85,4.39,3.69,1.38,0.8,96.4,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0258,100.0,12.28,12.592590240748516
Hauts Bassins,Burkina Faso,BFA,BF53,31.5,27.7,16.1,9.04,7.89,4.21,2.14,0.94,0.58,70.6,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,47.38,10.96,10.96
Nord,Burkina Faso,BFA,BF54,39.5,21.1,13.4,9.61,8.7,2.96,2.53,1.47,0.73,92.7,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,82.51,12.05,12.05
Plateau Central,Burkina Faso,BFA,BF55,35.7,23.9,11.2,7.44,7.54,7.09,4.12,1.89,1.13,96.9,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,95.73,12.46,12.46
Sahel,Burkina Faso,BFA,BF56,36.8,20.4,18.7,8.81,7.37,5.08,2.59,0.15,0.28,98.0,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0017,86.03,12.14,12.159237874798398
Sud-Ouest,Burkina Faso,BFA,BF57,36.1,22.4,13.6,10.1,6.73,5.75,3.49,1.1,0.65,95.1,3.03,31.55,5.01,3.48,3.06,48.88,51.12,0.0,86.7,12.18,12.18
