Region,Country,ISO_Code,EP_0t9,EP_10t19,EP_20t29,EP_30t39,EP_40t49,EP_50t59,EP_60t69,EP_70t79,EP_BPL,EP_80P,ADM1_PCODE,Area_PCT,EP_ISD,EP_COPD,EP_Diab,EP_Cancer,EP_HyTen,EP_Male,EP_Female,Gt35K_RTO,MRI_IDX,MRI_RIDX,MRI_RIDX2
District Autonome De Yamoussoukro,Cote d'Ivoire,CIV,33.3,21.0,10.5,9.07,7.3,8.32,6.23,2.49,55.4,1.9,CI02,98.39169734812016,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,79.51,10.67,10.67
Belier,Cote d'Ivoire,CIV,33.3,21.0,10.5,9.07,7.3,8.32,6.23,2.49,55.4,1.9,CI06,97.22180980780068,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,79.51,10.67,10.67
Iffou,Cote d'Ivoire,CIV,33.3,21.0,10.5,9.07,7.3,8.32,6.23,2.49,55.4,1.9,CI19,99.49163578034572,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,79.51,10.67,10.67
Moronou,Cote d'Ivoire,CIV,33.3,21.0,10.5,9.07,7.3,8.32,6.23,2.49,55.4,1.9,CI25,97.87835865206668,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,79.51,10.67,10.67
N'Zi,Cote d'Ivoire,CIV,33.3,21.0,10.5,9.07,7.3,8.32,6.23,2.49,55.4,1.9,CI27,100.0,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,79.51,10.67,10.67
Indenie-Djuablin,Cote d'Ivoire,CIV,28.7,21.3,19.6,12.6,7.12,4.84,3.43,1.88,23.3,0.45,CI20,97.67925682615018,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,14.37,8.72,8.72
Gbeke,Cote d'Ivoire,CIV,32.3,23.1,11.3,11.4,7.46,6.15,4.26,2.68,32.1,1.3499999999999999,CI11,93.11751242947474,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,37.42,9.41,9.41
Hambol,Cote d'Ivoire,CIV,32.3,23.1,11.3,11.4,7.46,6.15,4.26,2.68,32.1,1.3499999999999999,CI17,97.7622528521237,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,37.42,9.41,9.41
Goh,Cote d'Ivoire,CIV,34.0,22.8,13.4,12.7,7.65,4.06,3.62,1.27,31.9,0.54,CI13,98.54032820721628,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,26.73,9.09,9.09
Haut-Sassandra,Cote d'Ivoire,CIV,34.0,22.8,13.4,12.7,7.65,4.06,3.62,1.27,31.9,0.54,CI18,99.02287837957384,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,26.73,9.09,9.09
Marahoue,Cote d'Ivoire,CIV,34.0,22.8,13.4,12.7,7.65,4.06,3.62,1.27,31.9,0.54,CI23,99.94402371491748,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,26.73,9.09,9.09
Bagoue,Cote d'Ivoire,CIV,38.6,17.9,13.2,10.8,6.07,6.13,4.41,2.41,50.8,0.47,CI05,98.52990094002989,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,59.46,10.07,10.07
Poro,Cote d'Ivoire,CIV,38.6,17.9,13.2,10.8,6.07,6.13,4.41,2.41,50.8,0.47,CI28,99.46244248158655,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,59.46,10.07,10.07
Tchologo,Cote d'Ivoire,CIV,38.6,17.9,13.2,10.8,6.07,6.13,4.41,2.41,50.8,0.47,CI31,98.16161866090638,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0065,61.61,10.07,10.134202731822889
Bounkani,Cote d'Ivoire,CIV,31.6,22.5,11.9,11.4,6.42,6.54,6.54,2.56,54.1,0.68,CI08,98.77633536252513,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0894,100.0,10.36,11.283364598068204
Gontougo,Cote d'Ivoire,CIV,31.6,22.5,11.9,11.4,6.42,6.54,6.54,2.56,54.1,0.68,CI14,99.01605919586206,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,69.15,10.36,10.36
Bafing,Cote d'Ivoire,CIV,40.8,20.2,14.0,8.39,6.3,4.66,3.27,1.73,37.9,0.65,CI04,98.67191176785627,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0011,37.41,9.4,9.4097158902839
Bere,Cote d'Ivoire,CIV,40.8,20.2,14.0,8.39,6.3,4.66,3.27,1.73,37.9,0.65,CI07,96.55989235083928,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,37.08,9.4,9.4
Folon,Cote d'Ivoire,CIV,40.8,20.2,14.0,8.39,6.3,4.66,3.27,1.73,37.9,0.65,CI10,98.96022417846679,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,37.08,9.4,9.4
Kabadougou,Cote d'Ivoire,CIV,40.8,20.2,14.0,8.39,6.3,4.66,3.27,1.73,37.9,0.65,CI21,99.10535481914305,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0005,37.25,9.4,9.405046601565287
Worodougou,Cote d'Ivoire,CIV,40.8,20.2,14.0,8.39,6.3,4.66,3.27,1.73,37.9,0.65,CI33,99.59284220681025,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,37.08,9.4,9.4
Cavally,Cote d'Ivoire,CIV,33.3,19.6,17.0,11.5,6.12,6.02,3.42,2.36,51.0,0.69,CI09,98.75972968686635,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,60.47,10.1,10.1
Guemon,Cote d'Ivoire,CIV,33.3,19.6,17.0,11.5,6.12,6.02,3.42,2.36,51.0,0.69,CI16,99.32889144425182,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,60.47,10.1,10.1
Tonkpi,Cote d'Ivoire,CIV,33.3,19.6,17.0,11.5,6.12,6.02,3.42,2.36,51.0,0.69,CI32,97.06866162775871,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,60.47,10.1,10.1
Gbokle,Cote d'Ivoire,CIV,31.6,20.7,16.1,15.6,6.62,5.65,2.29,1.22,53.0,0.22999999999999998,CI12,96.78686900497297,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,56.46,9.98,9.98
Nawa,Cote d'Ivoire,CIV,31.6,20.7,16.1,15.6,6.62,5.65,2.29,1.22,53.0,0.22999999999999998,CI26,96.7723074912867,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,56.46,9.98,9.98
San Pedro,Cote d'Ivoire,CIV,31.6,20.7,16.1,15.6,6.62,5.65,2.29,1.22,53.0,0.22999999999999998,CI29,98.2847820732927,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,56.46,9.98,9.98
District Autonome D'Abidjan,Cote d'Ivoire,CIV,24.9,21.1,19.7,14.9,8.86,5.98,3.28,1.07,15.6,0.31,CI01,99.31214243839167,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,0.0,8.29,8.29
Agneby-Tiassa,Cote d'Ivoire,CIV,24.9,21.1,19.7,14.9,8.86,5.98,3.28,1.07,15.6,0.31,CI03,98.4000763929552,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,0.0,8.29,8.29
Grands Ponts,Cote d'Ivoire,CIV,24.9,21.1,19.7,14.9,8.86,5.98,3.28,1.07,15.6,0.31,CI15,98.03905238479518,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,0.0,8.29,8.29
Loh-Djiboua,Cote d'Ivoire,CIV,24.9,21.1,19.7,14.9,8.86,5.98,3.28,1.07,15.6,0.31,CI22,97.97561853623975,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,0.0,8.29,8.29
Me,Cote d'Ivoire,CIV,24.9,21.1,19.7,14.9,8.86,5.98,3.28,1.07,15.6,0.31,CI24,98.34965878153645,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,0.0,8.29,8.29
Sud-Comoe,Cote d'Ivoire,CIV,24.9,21.1,19.7,14.9,8.86,5.98,3.28,1.07,15.6,0.31,CI30,97.77781301897286,3.58,3.99,5.72,3.13,27.42,50.2,49.8,0.0,0.0,8.29,8.29
