incorrect;correct;admin_lvl
AGADEZ;Agadez;1
DIFFA;Diffa;1
DOSSO;Dosso;1
KATSINA( NIGERIA);NA;1
MARADI;Maradi;1
NIAMEY;Niamey;1
TAHOUA;Tahoua;1
TILLABERI;Tillabéry;1
ZINDER;Zinder;1
AGADEZ;Tchighozerine;2
AYOROU;Tillabéry;2
DAN GAO;Dakoro;2
DAOURA;Dosso;2
DIFFA;Diffa;2
DOSSO;Dosso;2
DS ABALA;Gaya;2
DS ABALAK;Ouallam;2
DS ADERBISSINAT;Arlit;2
DS AGADEZ;Tchighozerine;2
DS AGUIÃ‰;Aguié;2
DS ARLIT;Arlit;2
DS BALLEYARA;Tillabéry;2
DS BANIBANGOU;Gaya;2
DS BELBEDJI;Groumdji;2
DS BIRNI KONNI;Bkonni;2
DS BOUZA;Bouza;2
DS DAKORO;Dakoro;2
DS DAMGARAM TAKAYA;Mirriah;2
DS DIFFA;Diffa;2
DS DIOUNDOU;Gaya;2
DS DOGON DOUTCHI;Dogon-Doutchi;2
DS DOSSO;Dosso;2
DS DOUNGASS;Magaria;2
DS FILLINGUE;Filingué;2
DS GAYA;Gaya;2
DS GAZAOUA;Madaoua;2
DS GOTHEYE;Tillabéry;2
DS GOUDOUMARIA;Maïné-Soroa;2
DS GOURE;Gouré;2
DS GUIDAN ROUMDJI;Groumdji;2
DS IFEROUANE;Arlit;2
DS ILLÃ‰LA;Illéla;2
DS INGALL;Magaria;2
DS KEITA;Keita;2
DS KOLLO;Kollo;2
DS LOGA;Loga;2
DS MADAOUA;Madaoua;2
DS MADAROUNFA;Madarounfa;2
DS MAGARIA;Magaria;2
DS MALBAZA;Magaria;2
DS MARADI VILLE;Madarounfa;2
DS MATAMÃˆYE;Matameye;2
DS MATAMEYE;Matameye;2
DS MIRRIAH;Mirriah;2
DS N'GOURTI;Gouré;2
DS NIAMEY I;Niamey;2
DS NIAMEY II;Niamey;2
DS NIAMEY III;Niamey;2
DS NIAMEY IV;Niamey;2
DS NIAMEY V;Niamey;2
DS OUALLAM;Ouallam;2
DS SAY;Say;2
DS TAHOUA COMMUNE;Tahoua;2
DS TAKEITA;Keita;2
DS TANOUT;Tanout;2
DS TCHINTABARADEN;Tchin-Tabarade;2
DS TCHIROZÃ‰RINE;Tchighozerine;2
DS TERA;Téra;2
DS TIBIRI;Groumdji;2
DS TILLABERY;Tillabéry;2
DS TORODI;Say;2
DS ZINDER VILLE;Mirriah;2
DUNGASS;Magaria;2
MARADI;Madarounfa;2
NIAMEY;Niamey;2
TAHOUA;Tahoua;2
TILLABERI;Tillabéry;2
ZINDER;Mirriah;2
AGADEZ;Agadez;risk
DIFFA;Diffa;risk
DOSSO;Dosso;risk
MARADI;Maradi;risk
NIAMEY;Niamey;risk
TAHOUA;Tahoua;risk
TILLABERY;Tillabéry;risk
ZINDER;Zinder;risk
TILLABERI;Tillabéry;risk
